"subject","region","epoch","eyeState","CpLoc_delta","CpLoc_theta","CpLoc_alpha","CpLoc_beta_smr","CpLoc_beta","CpLoc_gamma"
"010005",1,7,1,"[17]","[8,11,12,21]","[14]","[16,16,17,21]","[3,3,3,4,4,6,11,18,21,21,23,25]","[3,9,11,11,13,13,14,15,15,18,25,25,25,26,26,27]"
"010005",2,7,1,"[3,3,27]","[5,8,20]","[11,14,19]","[3,3,6,7,8,10,13,18,20,23,24,27]","[3,4,5,21,21,22,23,23,24,25]","[5,6,7,8,9,9,11,11,11,12,13,13,16,16,20,27,27,27]"
"010005",3,7,1,"[3]","[5,5,7,10,11,11,14,16,19,20,21,22,23,23]","[22,25]","[7,8,9,16,19]","[3,3,5,5,6,16,17,19,20,22,23,26,26,26,27]","[4,8,9,10,10,12,13,13,13,14,14,16,17,19,27]"
"010005",4,7,1,"[3,20,22,23,24,26,26,26,27]","[9,9,17]","[3,3,6,6,24]","[3,3,14,14,18,18,26]","[3,3,5,7,12,12,13,13,16,17,20,22,23,23,23,23]","[5,10,10,12,13,13,15,17,18,19,19,20,26,26,27]"
"010005",5,7,1,"[13,13,16,22,23,27,27,27,27,27]","[16]","[]","[4,14,15,16,17,27,27]","[17,20,24,25]","[5,6,7,8,8,8,8,9,9,11,11,12,13,19,20]"
"010005",6,7,1,"[4,19,27]","[3,6,9,13,13,17]","[4,4,5,5,5,5,23]","[4,8,10,11,14,15,15,19,19,19,22,23,26,26]","[16,17,20,20,22,24,24,25,25,27]","[7,8,10,12,12,13,13,13,18,18]"
"010005",7,7,1,"[10,17,26,26,26,27]","[7]","[17]","[3,4,5,10,11,11,12,13,13,14,14,14,14,15,16,17,17,18,18,19,19,20,21,23,24,26,27,27]","[5,5,5,5,11,12,20,21,22,22,23,23,23,24,24,25,25,27]","[8,10,13,14,15,26,27,27]"
"010005",1,8,1,"[28]","[]","[]","[]","[]","[]"
"010005",2,8,1,"[2,3,8,14,17,22,27]","[8,25,27]","[10,12,17]","[5,6,7,8,17]","[11,24,28]","[3,3,6,7,7,8,9,10,10,10,12,15,15,17,19,21,23,25]"
"010005",3,8,1,"[2,2,4,18,20,21,24,25]","[3,6,7,7,24,26,28,28]","[7,12,13,26,27,27,27,28]","[5,7,10,16,16,22,23,24,25,26,28]","[3,5,5,8,11,12,14]","[3,5,7,7,8,9,10,12,13,14,14,15,17,19,19,22,22,22,24,25,27,27,27]"
"010005",4,8,1,"[16,26,27,28,28,28,28]","[3,16]","[]","[3,12,20,23]","[2,2,3,3,5,18]","[10,14]"
"010005",5,8,1,"[]","[]","[4,8,10,12,14,19,27]","[22]","[2,22]","[15,21]"
"010005",6,8,1,"[3]","[5,19]","[27]","[2,4,6,17,25]","[2,9]","[2,3,22,25]"
"010005",7,8,1,"[6,7,11,24,24,24,26,27,28,28,28]","[7,13,15,19,24]","[4,7,8,14,25,26,26,27,27,28,28,28]","[2,7,7,13,13,14,16,17,17,20,24]","[2,2,2,2,2,2,3,4,8,12,24]","[2,2,2,4,5,6,8,8,9,9,9,10,10,10,15,15,20,22,22,22,22]"
"010005",1,1,0,"[20,24,27]","[5,8,12,15,22]","[24]","[12,16,20,24,25]","[16,17]","[7,14,15,15,19,21,22,22,25]"
"010005",2,1,0,"[21,24,27]","[18,19,23]","[16,20,27,27]","[20,21,24,27,27]","[18,27,27,27]","[13,15,16,17,17,26]"
"010005",3,1,0,"[25]","[]","[13,18,24]","[7,7,7,11,12,16,19,19,21,25,25,26]","[4,4,17,19,27,27]","[21,22,22,24]"
"010005",4,1,0,"[]","[6,6,10,13,13,15,16,17,17,17,17,21]","[20,21,23]","[5,8,11,12,13,16,17,18,20,24]","[4,11,14,17,18,20,21,21,24,26,26,27,27,27]","[9,17]"
