"subject","region","epoch","eyeState","nCp_delta","nCp_theta","nCp_alpha","nCp_beta_smr","nCp_beta","nCp_gamma"
"010003",3,4,0,1,2,0,1,2,1
"010003",4,4,0,7,0,0,4,4,4
"010003",5,4,0,14,2,1,5,18,9
"010003",6,4,0,4,15,6,1,5,7
"010003",7,4,0,4,2,0,2,2,0
"010003",1,5,0,2,0,3,2,3,11
"010003",2,5,0,1,1,6,6,13,24
"010003",3,5,0,2,0,4,1,4,21
"010003",4,5,0,0,1,3,0,0,2
"010003",5,5,0,2,6,3,7,10,13
"010003",6,5,0,3,5,1,0,4,15
"010003",7,5,0,5,3,2,1,0,12
"010003",1,6,0,0,3,0,1,4,12
"010003",2,6,0,0,4,4,9,0,9
"010003",3,6,0,2,1,2,0,0,0
"010003",4,6,0,0,1,1,4,2,6
"010003",5,6,0,4,2,1,0,0,2
"010003",6,6,0,3,1,2,0,2,5
"010003",7,6,0,3,1,0,4,3,17
"010003",1,7,0,1,5,2,2,1,4
"010003",2,7,0,1,1,1,6,8,7
"010003",3,7,0,0,0,0,0,4,2
"010003",4,7,0,2,9,6,1,3,23
"010003",5,7,0,5,11,1,0,8,11
"010003",6,7,0,4,3,0,0,0,7
"010003",7,7,0,0,2,0,0,0,1
"010003",1,8,0,3,1,0,6,6,29
"010003",2,8,0,5,3,3,0,2,38
"010003",3,8,0,0,1,0,1,0,11
"010003",4,8,0,1,2,1,4,4,14
"010003",5,8,0,6,0,5,3,31,22
"010003",6,8,0,4,1,0,0,3,15
"010003",7,8,0,0,0,0,7,0,13
"010004",1,1,1,10,4,4,1,2,11
"010004",2,1,1,2,0,1,0,0,5
"010004",3,1,1,0,0,0,0,0,2
"010004",4,1,1,27,0,1,13,2,3
"010004",5,1,1,3,0,0,0,0,2
"010004",6,1,1,0,0,0,0,0,4
"010004",7,1,1,3,0,0,1,0,0
"010004",1,2,1,0,0,0,1,0,7
"010004",2,2,1,0,1,0,0,1,9
"010004",3,2,1,5,4,1,0,0,7
"010004",4,2,1,0,0,0,2,0,1
"010004",5,2,1,1,0,0,4,0,5
"010004",6,2,1,5,3,0,0,0,2
"010004",7,2,1,0,1,0,2,0,1
"010004",1,3,1,13,0,4,6,2,7
"010004",2,3,1,13,4,3,9,4,11
"010004",3,3,1,0,1,1,1,2,4
"010004",4,3,1,0,0,0,0,0,5
"010004",5,3,1,5,7,5,3,8,4
"010004",6,3,1,3,5,0,1,3,6
"010004",7,3,1,1,7,1,1,7,7
"010004",1,4,1,1,0,2,2,1,3
"010004",2,4,1,2,1,0,3,3,7
"010004",3,4,1,0,1,0,3,0,0
"010004",4,4,1,0,0,0,7,1,0
"010004",5,4,1,0,13,0,5,2,5
"010004",6,4,1,0,7,0,0,2,1
"010004",7,4,1,4,4,2,1,0,1
"010004",1,5,1,0,0,0,0,0,1
"010004",2,5,1,2,1,1,4,0,7
"010004",3,5,1,4,0,0,2,0,1
"010004",4,5,1,0,0,0,0,0,0
"010004",5,5,1,1,0,0,1,1,0
"010004",6,5,1,1,0,0,0,0,0
"010004",7,5,1,0,0,0,0,0,0
"010004",1,6,1,1,0,0,0,0,3
"010004",2,6,1,1,0,2,2,0,8
"010004",3,6,1,0,0,0,0,0,4
"010004",4,6,1,0,0,0,0,0,0
"010004",5,6,1,0,2,0,0,0,7
"010004",6,6,1,0,0,0,2,1,4
"010004",7,6,1,2,0,0,1,0,2
"010004",1,7,1,7,0,3,2,1,7
"010004",2,7,1,5,1,4,5,4,11
"010004",3,7,1,0,3,0,1,0,8
"010004",4,7,1,0,0,1,6,2,0
"010004",5,7,1,6,0,2,6,2,0
"010004",6,7,1,3,0,5,7,0,1
"010004",7,7,1,1,1,1,6,0,0
"010004",1,8,1,1,2,1,2,3,7
"010004",2,8,1,4,5,3,4,5,5
"010004",3,8,1,0,0,0,0,3,1
"010004",4,8,1,12,14,4,3,2,3
"010004",5,8,1,2,2,4,2,6,2
"010004",6,8,1,3,0,0,3,10,1
"010004",7,8,1,8,11,0,10,6,3
"010004",1,1,0,0,2,7,0,1,6
"010004",2,1,0,5,1,4,6,1,3
"010004",3,1,0,1,4,5,18,1,5
"010004",4,1,0,1,0,1,2,0,10
"010004",5,1,0,1,0,2,1,3,10
"010004",6,1,0,2,10,5,1,2,6
"010004",7,1,0,1,2,2,0,0,11
"010004",1,2,0,9,1,3,0,1,5
"010004",2,2,0,8,0,0,6,1,3
"010004",3,2,0,1,1,0,0,2,11
"010004",4,2,0,4,0,0,0,0,5
"010004",5,2,0,2,0,0,1,0,7
"010004",6,2,0,3,6,0,0,0,10
"010004",7,2,0,1,7,2,5,1,5
"010004",1,3,0,5,7,0,9,8,3
"010004",2,3,0,7,6,2,5,15,5
"010004",3,3,0,1,5,2,5,20,1
"010004",4,3,0,2,15,0,17,31,17
"010004",5,3,0,3,18,0,6,32,5
"010004",6,3,0,8,5,0,10,33,8
"010004",7,3,0,6,14,1,24,31,7
"010004",1,4,0,10,10,5,5,6,14
"010004",2,4,0,11,22,6,20,20,23
"010004",3,4,0,24,15,0,12,16,15
"010004",4,4,0,5,11,0,5,35,18
"010004",5,4,0,7,21,3,7,21,15
"010004",6,4,0,15,21,11,13,21,15
"010004",7,4,0,13,24,17,9,49,13
"010004",1,5,0,1,7,0,11,10,25
"010004",2,5,0,12,19,2,11,15,40
"010004",3,5,0,16,15,7,5,10,33
"010004",4,5,0,15,26,23,10,24,24
"010004",5,5,0,10,15,17,21,49,25
"010004",6,5,0,15,35,19,25,41,28
"010004",7,5,0,18,46,23,39,51,20
"010004",1,6,0,1,5,0,0,1,1
"010004",2,6,0,0,1,0,2,0,0
"010004",3,6,0,0,4,0,0,1,10
"010004",4,6,0,0,5,0,1,0,1
"010004",5,6,0,0,2,4,5,0,0
"010004",6,6,0,0,1,0,6,3,0
"010004",7,6,0,0,0,0,4,0,0
"010004",1,7,0,3,2,0,2,4,2
"010004",2,7,0,11,1,0,2,36,5
"010004",3,7,0,3,0,2,6,30,4
"010004",4,7,0,9,5,1,7,11,2
"010004",5,7,0,15,13,4,9,17,4
"010004",6,7,0,18,11,7,15,22,4
"010004",7,7,0,22,12,1,11,14,7
"010004",1,8,0,12,3,1,15,16,11
"010004",2,8,0,22,10,7,13,29,18
"010004",3,8,0,23,2,4,7,21,7
"010004",4,8,0,18,11,12,15,33,26
"010004",5,8,0,18,10,6,12,37,18
"010004",6,8,0,39,3,12,18,17,13
"010004",7,8,0,33,10,15,22,22,18
"010005",1,1,1,6,1,10,4,0,11
"010005",2,1,1,4,1,5,3,5,12
"010005",3,1,1,3,0,2,0,5,18
"010005",4,1,1,7,0,5,5,10,7
"010005",5,1,1,1,2,10,5,0,4
"010005",6,1,1,0,2,2,4,0,11
"010005",7,1,1,1,0,5,8,3,19
"010005",1,2,1,0,2,1,1,3,12
"010005",2,2,1,1,0,2,7,0,4
"010005",3,2,1,0,1,4,4,0,11
"010005",4,2,1,0,4,0,4,0,13
"010005",5,2,1,0,1,0,1,0,3
"010005",6,2,1,0,0,3,5,4,5
"010005",7,2,1,0,4,3,3,1,10
"010005",1,3,1,0,0,0,3,1,3
"010005",2,3,1,1,2,7,7,10,9
"010005",3,3,1,4,1,0,3,0,10
"010005",4,3,1,6,1,0,0,4,29
"010005",5,3,1,8,3,5,2,2,20
"010005",6,3,1,3,0,4,7,10,13
"010005",7,3,1,1,2,4,8,2,38
"010005",1,4,1,0,0,0,5,3,7
"010005",2,4,1,0,0,2,7,3,23
"010005",3,4,1,0,0,1,12,4,36
"010005",4,4,1,0,1,1,1,3,29
"010005",5,4,1,0,0,1,1,1,11
"010005",6,4,1,4,1,2,8,6,30
"010005",7,4,1,0,0,2,1,3,21
"010005",1,5,1,0,0,3,0,0,6
"010005",2,5,1,1,0,0,0,1,6
"010005",3,5,1,2,0,0,1,1,7
"010005",4,5,1,0,1,2,0,6,7
"010005",5,5,1,0,0,0,0,0,1
"010005",6,5,1,0,0,0,0,0,1
"010005",7,5,1,1,2,0,2,0,0
"010005",1,6,1,2,0,1,3,2,8
"010005",2,6,1,0,0,0,2,0,4
"010005",3,6,1,1,0,1,0,7,5
"010005",4,6,1,0,0,2,0,5,9
"010005",5,6,1,0,1,0,0,6,5
"010005",6,6,1,1,0,0,5,5,12
"010005",7,6,1,0,1,1,3,1,21
